Titre,Image,Prix,Catégorie,Fabricant,Rouen,Lille,Caen,Web
 DRAGON BALL - Booster Expansion set 3,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10023320-0.png.pagespeed.ic.zigkqL7YEY.webp,4.90,jeux de cartes,Bandai,40,99,0,24
Magic - Booster collector Ikoria la Terre des Behemoths (FR),https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10019897-0.png,26.50,jeux de cartes,"Wizards of the Coast",3,6,2,1
Pokemon - Kit du dresseur 2020 Let's play Pikachu et Evoli,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10019986-0.jpg,21.90,jeux de cartes,The pokemon company,1,3,2,1
YU-GI-OH! - Deck de Démarrage Speed Duel : Predateurs Ultimes,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10016120-0.jpg,10.50,jeux de cartes,Konami,10,9,6,1
FINAL FANTASY - Booster Série 2 (FR),https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10002728-0.jpg,3.90,jeux de cartes,Square-enix,40,110,31,36
Classeur ultra pro noir,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/3/9/39074-0.jpg,12.90,jeux de cartes,Ultra pro,1,0,0,0
Deck box Ultimate guard - Land Edition forêt ed II standard,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10015008-0.jpg,3.90,jeux de cartes,	Ultimate guard,2,0,0,1
"Deck box Ultimate guard - XenoSkin 100+ standard sable
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10015013-0.jpg,17.90,jeux de cartes,"Ultimate guard",1,0,0,0
FINAL FANTASY- Starter Set FF XIV,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10008133-0.jpg.pagespeed.ic.-T6RCjhy0Y.webp,12.90,jeux de cartes,"Square-enix
",1,0,0,0
FINAL FANTASY- Set démarrage deux joueurs FFXIV Shadowbringers,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10024985-0.jpg.pagespeed.ic.GyzJlN_LRo.webp,22.50,jeux de cartes,Square-enix,2,2,0,1